sentence,adjectives,transparency,polarity,negation,gender,roberta_large_surprisal,bert_large_cased_surprisal,xlnet_large_cased_surprisal,gpt2_large_surprisal
She is sophisticated. He too is sophisticated.,sophisticated-unsophisticated,y,pp,n,fm,-1.2251663208007812;-0.13040924072265625;-0.06482696533203125;-0.0029754638671875;-0.2780303955078125;-1.0276718139648438;-0.07568359375;-0.26706695556640625;-0.01360321044921875,-1.4164161682128906;-0.12660980224609375;-0.20529842376708984;-0.02623271942138672;-1.1011724472045898;-1.9490690231323242;-0.01336669921875;-0.2903280258178711;-0.013387680053710938,0.0;-8.288612365722656;-20.065834045410156;-5.3259124755859375;-5.6078643798828125;-19.284812927246094;-7.5125579833984375;-19.532958984375;-4.164924621582031,0.0;-3.225691318511963;-11.395177841186523;-2.863125801086426;-5.426473140716553;-8.68166446685791;-0.7465133666992188;-2.652341842651367;-0.8044185638427734
She is unsophisticated. He too is unsophisticated.,sophisticated-unsophisticated,y,mm,n,fm,-3.1602401733398438;-0.121063232421875;-0.002712249755859375;-0.00612640380859375;-0.5096664428710938;-1.3348464965820312;-0.12374114990234375;-0.004467010498046875;-0.01470184326171875,-0.9650955200195312;-0.070220947265625;-0.0012226104736328125;-0.013696670532226562;-0.8551092147827148;-2.780306816101074;-0.018220901489257812;-0.0027866363525390625;-0.014942169189453125,0.0;-10.102218627929688;-66.08845520019531;-13.990692138671875;-6.128856658935547;-17.482749938964844;-7.4997100830078125;-62.00445556640625;-5.987648010253906,0.0;-3.225691318511963;-14.618809700012207;-2.346320152282715;-5.294518947601318;-8.428628921508789;-0.8132600784301758;-1.238938331604004;-0.8646821975708008
She is sophisticated. He too is unsophisticated.,sophisticated-unsophisticated,y,pm,n,fm,-5.384563446044922;-0.13004302978515625;-6.042118072509766;-0.00394439697265625;-0.28173828125;-3.7139129638671875;-0.1973724365234375;-0.00942230224609375;-0.018402099609375,-0.9105262756347656;-0.11800003051757812;-5.3494038581848145;-0.020290374755859375;-0.7323684692382812;-2.744081497192383;-0.05303955078125;-0.003780364990234375;-0.023069381713867188,0.0;-10.039691925048828;-19.570919036865234;-7.448757171630859;-5.7367095947265625;-22.486217498779297;-9.605110168457031;-62.00748825073242;-6.988710403442383,0.0;-3.225691318511963;-11.395177841186523;-2.863125801086426;-5.426473140716553;-8.68166446685791;-0.7465133666992188;-9.158366203308105;-0.9386663436889648
She is unsophisticated. He too is sophisticated.,sophisticated-unsophisticated,y,mp,n,fm,-2.9008445739746094;-0.16449737548828125;-0.022602081298828125;-0.00508880615234375;-0.30187225341796875;-3.630512237548828;-0.06630706787109375;-6.971431732177734;-0.0258026123046875,-1.5916852951049805;-0.12615585327148438;-0.004604339599609375;-0.008302688598632812;-1.1241369247436523;-2.372526168823242;-0.05912590026855469;-5.35078763961792;-0.027263641357421875,0.0;-13.580192565917969;-61.685898780822754;-7.554252624511719;-5.7420806884765625;-20.004566192626953;-8.651409149169922;-15.294157981872559;-4.154029846191406,0.0;-3.225691318511963;-14.618809700012207;-2.3463211059570312;-5.294519901275635;-8.428628921508789;-0.8132610321044922;-6.691400527954102;-0.9152603149414062
She is not sophisticated. He too is sophisticated.,sophisticated-unsophisticated,y,pp,y,fm,-2.1150245666503906;-0.15785980224609375;-5.079322814941406;-4.830852508544922;-0.00821685791015625;-0.47272491455078125;-4.515682220458984;-0.08563232421875;-3.6535682678222656;-0.03037261962890625,-1.688136100769043;-0.04879570007324219;-3.834503173828125;-0.809967041015625;-0.02166748046875;-1.4233903884887695;-1.9732627868652344;-0.024084091186523438;-1.3741044998168945;-0.019254684448242188,0.0;-10.751041412353516;-9.12878131866455;-14.508952140808105;-3.6108245849609375;-3.2134628295898438;-19.04308319091797;-6.205146789550781;-20.99666404724121;-3.2872390747070312,0.0;-3.225691318511963;-2.9663033485412598;-10.624183654785156;-2.4341230392456055;-5.657529830932617;-8.836502075195312;-0.8203744888305664;-6.699188232421875;-0.8701858520507812
She is not unsophisticated. He too is unsophisticated.,sophisticated-unsophisticated,y,mm,y,fm,-4.543701171875;-0.1381072998046875;-1.6743087768554688;-0.00273895263671875;-0.00860595703125;-0.612579345703125;-3.9794464111328125;-0.0940704345703125;-0.00457763671875;-0.018035888671875,-1.6977005004882812;-0.04234123229980469;-4.853184700012207;-0.00170135498046875;-0.025025367736816406;-1.4636096954345703;-2.1508989334106445;-0.025216102600097656;-0.0030498504638671875;-0.025541305541992188,0.0;-11.837215423583984;-9.598244667053223;-62.68473148345947;-12.162948608398438;-6.624759674072266;-14.649375915527344;-4.913242340087891;-57.076839447021484;-5.8929443359375,0.0;-3.225691318511963;-2.9663033485412598;-14.332919120788574;-1.6861639022827148;-5.686369895935059;-8.643377304077148;-1.3178415298461914;-6.145979881286621;-1.0093450546264648
She is not sophisticated. He too is unsophisticated.,sophisticated-unsophisticated,y,pm,y,fm,-5.5105438232421875;-0.128448486328125;-1.1643600463867188;-5.747028350830078;-0.00498199462890625;-0.8437652587890625;-1.3143692016601562;-0.11138153076171875;-0.001834869384765625;-0.02529144287109375,-5.18578577041626;-0.01531982421875;-3.802762985229492;-5.845037460327148;-0.011987686157226562;-4.334842681884766;-2.5127992630004883;-0.0517120361328125;-0.0030689239501953125;-0.0236053466796875,0.0;-12.030105590820312;-6.678569793701172;-14.882532119750977;-6.359212875366211;-5.3718414306640625;-21.348175048828125;-9.585639953613281;-60.70191192626953;-6.807401657104492,0.0;-3.225691318511963;-2.9663033485412598;-10.624183654785156;-2.4341230392456055;-5.657529830932617;-8.836502075195312;-0.8203725814819336;-7.458768367767334;-0.8429193496704102
She is not unsophisticated. He too is sophisticated.,sophisticated-unsophisticated,y,mp,y,fm,-5.2083740234375;-0.142547607421875;-0.391571044921875;-0.000980377197265625;-0.00699615478515625;-1.7806549072265625;-2.0689163208007812;-0.0302276611328125;-2.5465965270996094;-0.02547454833984375,-5.113717079162598;-0.025751113891601562;-3.5993576049804688;-0.003887176513671875;-0.012664794921875;-6.605437278747559;-2.2436275482177734;-0.062164306640625;-4.620373249053955;-0.03139495849609375,0.0;-12.241985321044922;-9.93324089050293;-60.26912879943848;-9.150413513183594;-6.542980194091797;-16.372146606445312;-8.700775146484375;-14.149517059326172;-4.674751281738281,0.0;-3.225691318511963;-2.9663033485412598;-14.332919120788574;-1.6861639022827148;-5.686369895935059;-8.643376350402832;-1.3178424835205078;-6.4981536865234375;-1.155487060546875
He is successful. She too is successful.,successful-unsuccessful,y,pp,n,mf,-0.3689117431640625;-0.080169677734375;-0.0713043212890625;-0.00431060791015625;-0.676788330078125;-1.2739715576171875;-0.04736328125;-0.05478668212890625;-0.00928497314453125,-0.5209360122680664;-0.16282272338867188;-0.035785675048828125;-0.03903388977050781;-0.8451461791992188;-3.406794548034668;-0.04549217224121094;-0.12219715118408203;-0.010166168212890625,0.0;-9.668891906738281;-15.443092346191406;-7.275760650634766;-3.7225494384765625;-21.974510192871094;-6.1961517333984375;-13.262737274169922;-6.813934326171875,0.0;-3.1556758880615234;-9.464035987854004;-2.5764551162719727;-5.276510238647461;-7.9204182624816895;-0.9180202484130859;-1.2365875244140625;-0.7055044174194336
He is unsuccessful. She too is unsuccessful.,successful-unsuccessful,y,mm,n,mf,-0.34905242919921875;-0.0681915283203125;-0.131866455078125;-0.002838134765625;-0.8748397827148438;-1.3253555297851562;-0.07489776611328125;-0.0663299560546875;-0.008514404296875,-0.3767843246459961;-0.03127861022949219;-0.2729339599609375;-0.012210845947265625;-0.8154373168945312;-3.1449623107910156;-0.016571044921875;-1.9275474548339844;-0.016796112060546875,0.0;-8.973384857177734;-19.465938568115234;-4.307155609130859;-4.510631561279297;-19.926647186279297;-5.187858581542969;-17.4705810546875;-4.1230010986328125,0.0;-3.1556758880615234;-11.970366477966309;-1.7545652389526367;-5.159838676452637;-7.79941463470459;-1.2954635620117188;-3.5100317001342773;-0.570399284362793
He is successful. She too is unsuccessful.,successful-unsuccessful,y,pm,n,mf,-1.0334854125976562;-0.0726470947265625;-2.4511260986328125;-0.0049591064453125;-0.6934356689453125;-2.88543701171875;-0.15804290771484375;-6.027492523193359;-0.01131439208984375,-0.31904125213623047;-0.10453224182128906;-1.5620765686035156;-0.03428077697753906;-0.6919994354248047;-2.520724296569824;-0.019868850708007812;-3.7216529846191406;-0.016088485717773438,0.0;-10.024871826171875;-14.919502258300781;-6.339019775390625;-5.351711273193359;-19.986183166503906;-6.658729553222656;-17.509681701660156;-5.023002624511719,0.0;-3.1556758880615234;-9.464035987854004;-2.5764551162719727;-5.276510238647461;-7.9204182624816895;-0.9180202484130859;-6.46497917175293;-0.5924587249755859
He is unsuccessful. She too is successful.,successful-unsuccessful,y,mp,n,mf,-0.42917633056640625;-0.114990234375;-8.208480834960938;-0.00698089599609375;-0.5927734375;-2.4526214599609375;-0.08990478515625;-3.274211883544922;-0.01268768310546875,-0.3853139877319336;-0.058650970458984375;-4.351113319396973;-0.014066696166992188;-0.8314504623413086;-2.6950511932373047;-0.09128761291503906;-3.355073928833008;-0.020563125610351562,0.0;-9.30325698852539;-17.997995376586914;-5.390397071838379;-5.097515106201172;-16.5445556640625;-4.5412139892578125;-12.948539733886719;-5.3914947509765625,0.0;-3.1556758880615234;-11.970366477966309;-1.7545652389526367;-5.159838676452637;-7.79941463470459;-1.2954635620117188;-4.1356024742126465;-0.8542375564575195
He is not successful. She too is successful.,successful-unsuccessful,y,pp,y,mf,-0.7987747192382812;-0.11467742919921875;-4.832912445068359;-5.588066101074219;-0.010650634765625;-1.0382537841796875;-3.203033447265625;-0.13088226318359375;-2.3440589904785156;-0.0214996337890625,-0.49751949310302734;-0.09057426452636719;-4.222465515136719;-0.2244729995727539;-0.014047622680664062;-1.047469139099121;-2.8258724212646484;-0.06856346130371094;-3.2001123428344727;-0.015607833862304688,0.0;-6.810752868652344;-3.1068878173828125;-14.362171173095703;-3.5058135986328125;-8.086387634277344;-12.842178344726562;-2.5216903686523438;-13.828598022460938;-3.7188568115234375,0.0;-3.1556758880615234;-2.8939313888549805;-9.560806274414062;-2.2220516204833984;-5.719099044799805;-8.149818420410156;-1.0101985931396484;-4.64711856842041;-0.9082889556884766
He is not unsuccessful. She too is unsuccessful.,successful-unsuccessful,y,mm,y,mf,-1.556121826171875;-0.111602783203125;-3.3924713134765625;-4.749382019042969;-0.00914764404296875;-1.7573699951171875;-1.9497528076171875;-0.09146881103515625;-0.6259078979492188;-0.0146636962890625,-0.4129981994628906;-0.0269317626953125;-4.982985496520996;-3.189931869506836;-0.013925552368164062;-1.2056694030761719;-2.6054258346557617;-0.03429985046386719;-2.7642107009887695;-0.019847869873046875,0.0;-9.800758361816406;-4.145711898803711;-13.332601547241211;-1.7211952209472656;-6.592151641845703;-17.835033416748047;-6.0056610107421875;-20.13542938232422;-3.836122512817383,0.0;-3.1556758880615234;-2.8939313888549805;-13.765694618225098;-1.7461605072021484;-5.409778594970703;-7.730015754699707;-1.1899919509887695;-6.907671928405762;-0.7498989105224609
He is not successful. She too is unsuccessful.,successful-unsuccessful,y,pm,y,mf,-1.7827873229980469;-0.07126617431640625;-0.5739898681640625;-1.0080604553222656;-0.00260162353515625;-1.4164047241210938;-1.3238372802734375;-0.085113525390625;-1.2432479858398438;-0.0102386474609375,-0.37668895721435547;-0.02814483642578125;-2.7626867294311523;-0.3011026382446289;-0.01029205322265625;-1.0628738403320312;-2.4712610244750977;-0.029298782348632812;-2.6974058151245117;-0.0176849365234375,0.0;-9.440792083740234;-5.655040740966797;-9.657424926757812;-6.1264495849609375;-6.624446868896484;-17.08654022216797;-4.03022575378418;-16.680835723876953;-4.217929840087891,0.0;-3.1556758880615234;-2.8939313888549805;-9.560806274414062;-2.2220516204833984;-5.719099044799805;-8.149818420410156;-1.0101985931396484;-4.494677543640137;-0.6770524978637695
He is not unsuccessful. She too is successful.,successful-unsuccessful,y,mp,y,mf,-3.866363525390625;-0.0771942138671875;-1.1045761108398438;-8.294837951660156;-0.0073699951171875;-2.8579940795898438;-1.7000045776367188;-0.0475311279296875;-1.2660064697265625;-0.01573944091796875,-0.4152851104736328;-0.04123878479003906;-4.8167009353637695;-4.823634147644043;-0.014959335327148438;-1.1953020095825195;-2.3155593872070312;-0.07076454162597656;-2.623027801513672;-0.022357940673828125,0.0;-11.423603057861328;-5.023185729980469;-16.759294509887695;-1.9428634643554688;-5.948066711425781;-16.464378356933594;-5.952053070068359;-15.683692932128906;-4.564136505126953,0.0;-3.1556758880615234;-2.8939313888549805;-13.765694618225098;-1.7461605072021484;-5.409778594970703;-7.730015754699707;-1.1899919509887695;-4.787193298339844;-0.9631013870239258
She is successful. He too is successful.,successful-unsuccessful,y,pp,n,fm,-0.5469894409179688;-0.09783935546875;-0.1112518310546875;-0.00334930419921875;-0.2512969970703125;-1.1565628051757812;-0.07686614990234375;-0.0961761474609375;-0.01136016845703125,-1.0065422058105469;-0.14290237426757812;-0.06838130950927734;-0.025979995727539062;-0.5441932678222656;-2.540217399597168;-0.05042266845703125;-0.126922607421875;-0.0074481964111328125,0.0;-6.850696563720703;-12.13272476196289;-5.373783111572266;-9.388748168945312;-16.200138092041016;-4.453300476074219;-10.170074462890625;-5.140350341796875,0.0;-3.225691318511963;-9.379561424255371;-2.5430145263671875;-4.932847023010254;-8.180876731872559;-0.8642482757568359;-1.4325733184814453;-0.7035732269287109
She is unsuccessful. He too is unsuccessful.,successful-unsuccessful,y,mm,n,fm,-0.6087150573730469;-0.09589385986328125;-0.17589569091796875;-0.00200653076171875;-0.17391204833984375;-1.1894607543945312;-0.11371612548828125;-0.0860748291015625;-0.00995635986328125,-0.7814970016479492;-0.029476165771484375;-0.35221195220947266;-0.009204864501953125;-0.6863021850585938;-2.2184267044067383;-0.015649795532226562;-1.6472091674804688;-0.012691497802734375,0.0;-11.253646850585938;-22.48705291748047;-5.286151885986328;-3.2908477783203125;-20.24734115600586;-4.673980712890625;-18.493961334228516;-5.552028656005859,0.0;-3.225691318511963;-12.095208168029785;-1.7878408432006836;-4.045868396759033;-7.917398929595947;-1.3109245300292969;-4.782941818237305;-0.6316089630126953
She is successful. He too is unsuccessful.,successful-unsuccessful,y,pm,n,fm,-1.5013275146484375;-0.079864501953125;-2.2165184020996094;-0.00299072265625;-0.15019989013671875;-2.879413604736328;-0.17658233642578125;-5.121337890625;-0.0110931396484375,-0.7051143646240234;-0.08861923217773438;-1.4282617568969727;-0.0257568359375;-0.47618579864501953;-1.8578910827636719;-0.020343780517578125;-3.389842987060547;-0.012752532958984375,0.0;-6.039188385009766;-12.147151947021484;-4.461421966552734;-11.509685516357422;-15.1177978515625;-3.6951141357421875;-15.285659790039062;-2.340984344482422,0.0;-3.225691318511963;-9.379561424255371;-2.5430145263671875;-4.932847023010254;-8.180876731872559;-0.8642482757568359;-6.900303840637207;-0.6067905426025391
She is unsuccessful. He too is successful.,successful-unsuccessful,y,mp,n,fm,-0.5855560302734375;-0.15248870849609375;-8.033912658691406;-0.004608154296875;-0.10699462890625;-2.2742538452148438;-0.09210205078125;-3.1275062561035156;-0.01300811767578125,-0.7814950942993164;-0.04974174499511719;-4.093631744384766;-0.010242462158203125;-0.6752462387084961;-1.931380271911621;-0.11277961730957031;-3.3081655502319336;-0.019063949584960938,0.0;-9.2623291015625;-16.546573638916016;-5.895893096923828;-4.44049072265625;-19.580524444580078;-4.545036315917969;-12.104583740234375;-6.420013427734375,0.0;-3.225691318511963;-12.095208168029785;-1.7878408432006836;-4.045868396759033;-7.917398929595947;-1.3109245300292969;-5.228425979614258;-0.9342117309570312
She is not successful. He too is successful.,successful-unsuccessful,y,pp,y,fm,-1.2616386413574219;-0.12542724609375;-4.767646789550781;-5.289710998535156;-0.0082244873046875;-0.24420928955078125;-3.2657928466796875;-0.09253692626953125;-1.745758056640625;-0.02300262451171875,-1.1084308624267578;-0.0838470458984375;-3.818582534790039;-0.4491262435913086;-0.015123367309570312;-0.7337551116943359;-2.0636205673217773;-0.06671524047851562;-2.5971031188964844;-0.013065338134765625,0.0;-8.886974334716797;-3.276123046875;-11.185064315795898;-4.683094024658203;-3.509967803955078;-20.13277816772461;-4.8745269775390625;-17.284378051757812;-4.896404266357422,0.0;-3.225691318511963;-2.9663033485412598;-9.673770904541016;-2.1255922317504883;-4.739835739135742;-8.34132194519043;-1.003143310546875;-4.798559188842773;-0.8783998489379883
She is not unsuccessful. He too is unsuccessful.,successful-unsuccessful,y,mm,y,fm,-2.4693832397460938;-0.12310791015625;-3.3751983642578125;-4.906833648681641;-0.00811767578125;-0.34276580810546875;-2.20867919921875;-0.12552642822265625;-0.5465621948242188;-0.01749420166015625,-0.8839263916015625;-0.028432846069335938;-5.128689765930176;-3.415843963623047;-0.014799118041992188;-0.8097257614135742;-1.796875;-0.03212928771972656;-2.232023239135742;-0.017536163330078125,0.0;-8.643756866455078;-4.673946380615234;-14.776371002197266;-2.289684295654297;-4.895805358886719;-19.545249938964844;-6.34625244140625;-21.246681213378906;-3.509836196899414,0.0;-3.225691318511963;-2.9663033485412598;-13.784616470336914;-1.6025257110595703;-4.1383256912231445;-7.725705146789551;-1.2536039352416992;-7.411764144897461;-0.7769231796264648
She is not successful. He too is unsuccessful.,successful-unsuccessful,y,pm,y,fm,-2.7045021057128906;-0.09638214111328125;-0.7332534790039062;-1.7690353393554688;-0.00240325927734375;-0.337554931640625;-1.0734634399414062;-0.11517333984375;-1.3335494995117188;-0.01325225830078125,-0.8123054504394531;-0.028106689453125;-2.5372533798217773;-0.447235107421875;-0.011152267456054688;-0.7645158767700195;-1.7729225158691406;-0.02822113037109375;-1.8966102600097656;-0.014827728271484375,0.0;-9.402538299560547;-4.692115783691406;-10.128154754638672;-3.561115264892578;-3.538360595703125;-19.953826904296875;-5.370624542236328;-18.365310668945312;-4.018856048583984,0.0;-3.225691318511963;-2.9663033485412598;-9.673770904541016;-2.1255922317504883;-4.739835739135742;-8.34132194519043;-1.003143310546875;-4.498267650604248;-0.6740036010742188
She is not unsuccessful. He too is successful.,successful-unsuccessful,y,mp,y,fm,-4.681858062744141;-0.0816802978515625;-1.191162109375;-7.839576721191406;-0.0076446533203125;-1.4758148193359375;-1.8556976318359375;-0.0631561279296875;-1.5634880065917969;-0.0193328857421875,-0.9358596801757812;-0.04216194152832031;-4.738471031188965;-4.716252326965332;-0.016473770141601562;-0.8029146194458008;-1.6446571350097656;-0.07270622253417969;-2.4362125396728516;-0.020505905151367188,0.0;-8.928070068359375;-3.1692848205566406;-16.44780731201172;-2.7188262939453125;-5.141773223876953;-20.408008575439453;-6.627819061279297;-18.092025756835938;-4.893001556396484,0.0;-3.225691318511963;-2.9663033485412598;-13.784616470336914;-1.6025257110595703;-4.1383256912231445;-7.725705146789551;-1.2536039352416992;-5.354425430297852;-1.0177154541015625
He is truthful. She too is truthful.,truthful-untruthful,y,pp,n,mf,-1.1535873413085938;-0.12762451171875;-0.20806121826171875;-0.01059722900390625;-1.6565093994140625;-1.014801025390625;-0.03372955322265625;-0.6435661315917969;-0.01041412353515625,-1.3377466201782227;-0.20924663543701172;-0.006908416748046875;-0.028470993041992188;-1.4495525360107422;-3.1322898864746094;-0.03307056427001953;-0.006805419921875;-0.019239425659179688,0.0;-12.275886535644531;-27.823402404785156;-11.336517333984375;-2.211761474609375;-17.887943267822266;-8.028549194335938;-30.3553409576416;-9.781784057617188,0.0;-3.1556758880615234;-11.456183433532715;-2.0740957260131836;-5.498953819274902;-8.286209106445312;-0.8258647918701172;-1.8427963256835938;-0.7614192962646484
He is untruthful. She too is untruthful.,truthful-untruthful,y,mm,n,mf,-0.8648185729980469;-0.1822052001953125;-0.002101898193359375;-0.004791259765625;-0.9908294677734375;-1.224456787109375;-0.05245208740234375;-0.00304412841796875;-0.01300811767578125,-1.3076276779174805;-0.10296058654785156;-0.0031299591064453125;-0.022626876831054688;-1.2374401092529297;-2.4605417251586914;-0.027099609375;-0.0058765411376953125;-0.020206451416015625,0.0;-14.740760803222656;-49.5883903503418;-11.69970703125;-5.461601257324219;-17.032318115234375;-5.870662689208984;-44.89670181274414;-11.953292846679688,0.0;-3.1556758880615234;-13.552340507507324;-2.0711050033569336;-5.317251682281494;-7.95494270324707;-0.9723997116088867;-1.830373764038086;-0.690826416015625
He is truthful. She too is untruthful.,truthful-untruthful,y,pm,n,mf,-2.57537841796875;-0.2569732666015625;-4.900787353515625;-0.0142059326171875;-1.0952529907226562;-2.714946746826172;-0.0926666259765625;-0.003826141357421875;-0.02242279052734375,-1.9572820663452148;-0.1372241973876953;-0.42429351806640625;-0.024980545043945312;-1.6170177459716797;-2.857685089111328;-0.03590106964111328;-0.008174896240234375;-0.01564788818359375,0.0;-10.625782012939453;-22.934309005737305;-14.326698303222656;-3.0502090454101562;-19.94747543334961;-6.432916641235352;-37.33713912963867;-12.498332977294922,0.0;-3.1556758880615234;-11.456183433532715;-2.0740957260131836;-5.498953819274902;-8.286209106445312;-0.8258647918701172;-7.138636112213135;-0.6575136184692383
He is untruthful. She too is truthful.,truthful-untruthful,y,mp,n,mf,-1.0155830383300781;-0.30313873291015625;-0.00402069091796875;-0.01447296142578125;-0.8548049926757812;-3.1116905212402344;-0.0626068115234375;-6.441883087158203;-0.02081298828125,-2.7567548751831055;-0.17358112335205078;-0.008184432983398438;-0.017818450927734375;-1.8954544067382812;-3.1940441131591797;-0.031716346740722656;-1.0543365478515625;-0.020870208740234375,0.0;-14.045021057128906;-48.042840003967285;-11.255386352539062;-5.636409759521484;-18.862396240234375;-6.008293628692627;-25.312355041503906;-7.459857940673828,0.0;-3.1556758880615234;-13.552340507507324;-2.071103096008301;-5.317251205444336;-7.9549431800842285;-0.9723997116088867;-4.99151611328125;-0.7452030181884766
He is not truthful. She too is truthful.,truthful-untruthful,y,pp,y,mf,-1.0965461730957031;-0.179779052734375;-3.698638916015625;-5.130931854248047;-0.0131988525390625;-1.7649002075195312;-3.3820724487304688;-0.0898590087890625;-6.691188812255859;-0.026214599609375,-1.3435401916503906;-0.14838409423828125;-2.8546276092529297;-0.024255752563476562;-0.024280548095703125;-1.4533348083496094;-3.044753074645996;-0.0712881088256836;-0.0175933837890625;-0.025018692016601562,0.0;-13.608009338378906;-7.710638046264648;-22.559514045715332;-8.096588134765625;-6.174488067626953;-19.244335174560547;-4.681763648986816;-25.70049285888672;-7.490703582763672,0.0;-3.1556758880615234;-2.8939313888549805;-10.411467552185059;-1.8072290420532227;-5.378164768218994;-8.520612716674805;-0.8276147842407227;-5.620229721069336;-0.8653450012207031
He is not untruthful. She too is untruthful.,truthful-untruthful,y,mm,y,mf,-2.037403106689453;-0.190032958984375;-2.5284500122070312;-0.00792694091796875;-0.007476806640625;-1.8520660400390625;-3.3287506103515625;-0.07393646240234375;-0.00292205810546875;-0.0176544189453125,-1.8405332565307617;-0.10651969909667969;-2.9544057846069336;-0.010046005249023438;-0.02165985107421875;-2.3474721908569336;-2.4123382568359375;-0.05713653564453125;-0.01007843017578125;-0.026058197021484375,0.0;-13.28853988647461;-11.722633361816406;-44.8441276550293;-8.706535339355469;-6.4471435546875;-16.349594116210938;-1.1991634368896484;-42.78998565673828;-10.55743408203125,0.0;-3.1556758880615234;-2.8939313888549805;-13.947794914245605;-1.7424402236938477;-5.518651008605957;-7.579703330993652;-1.4727554321289062;-5.374319553375244;-0.8339080810546875
He is not truthful. She too is untruthful.,truthful-untruthful,y,pm,y,mf,-3.4296531677246094;-0.20772552490234375;-0.19889068603515625;-3.204174041748047;-0.00762939453125;-2.350341796875;-1.1147689819335938;-0.05823516845703125;-0.00494384765625;-0.0217437744140625,-2.835272789001465;-0.15657520294189453;-2.389805793762207;-0.3544635772705078;-0.013410568237304688;-2.755549430847168;-2.5893516540527344;-0.04159355163574219;-0.00946044921875;-0.0162811279296875,0.0;-11.994426727294922;-10.493295669555664;-22.1016206741333;-10.811454772949219;-4.940700531005859;-17.233394622802734;-5.866630554199219;-37.979915618896484;-11.655731201171875,0.0;-3.1556758880615234;-2.8939313888549805;-10.411467552185059;-1.8072290420532227;-5.378164291381836;-8.520614624023438;-0.8276157379150391;-6.059045791625977;-0.728032112121582
He is not untruthful. She too is truthful.,truthful-untruthful,y,mp,y,mf,-3.7585678100585938;-0.20026397705078125;-0.41712188720703125;-0.002532958984375;-0.00830078125;-3.3251724243164062;-1.7494926452636719;-0.0428009033203125;-3.3569107055664062;-0.0160980224609375,-4.729164123535156;-0.12392616271972656;-1.5744037628173828;-0.015224456787109375;-0.0127410888671875;-5.6713056564331055;-3.174994468688965;-0.03274059295654297;-0.2697782516479492;-0.0196990966796875,0.0;-13.37744140625;-11.788837432861328;-46.205227851867676;-9.667438507080078;-6.719352722167969;-17.2154541015625;-5.461266040802002;-14.880273818969727;-7.864536285400391,0.0;-3.1556758880615234;-2.8939313888549805;-13.947794914245605;-1.742441177368164;-5.518650054931641;-7.579702377319336;-1.4727554321289062;-5.201495170593262;-0.9391956329345703
She is truthful. He too is truthful.,truthful-untruthful,y,pp,n,fm,-2.6430435180664062;-0.1043243408203125;-0.2915802001953125;-0.017333984375;-0.8199081420898438;-0.8531265258789062;-0.05902862548828125;-0.5347900390625;-0.01328277587890625,-1.7353897094726562;-0.17960262298583984;-0.009511947631835938;-0.03838157653808594;-1.3955726623535156;-2.1891374588012695;-0.025069236755371094;-0.007886886596679688;-0.015951156616210938,0.0;-12.38104248046875;-27.914766311645508;-10.569190979003906;-3.8924598693847656;-20.366653442382812;-5.100921630859375;-32.59441947937012;-9.465469360351562,0.0;-3.225691318511963;-11.460052490234375;-2.0391407012939453;-5.430031776428223;-8.462791442871094;-0.868840217590332;-2.349271774291992;-0.7929677963256836
She is untruthful. He too is untruthful.,truthful-untruthful,y,mm,n,fm,-1.2855415344238281;-0.165863037109375;-0.001972198486328125;-0.0045166015625;-0.371551513671875;-1.1592025756835938;-0.0908660888671875;-0.003482818603515625;-0.0110931396484375,-1.6660289764404297;-0.11185359954833984;-0.0073337554931640625;-0.025327682495117188;-1.1550540924072266;-1.159799575805664;-0.019498825073242188;-0.0041046142578125;-0.01671600341796875,0.0;-10.19205093383789;-42.662654876708984;-9.747940063476562;-5.628269195556641;-20.257808685302734;-6.993141174316406;-43.14668273925781;-10.774650573730469,0.0;-3.225691318511963;-13.859495162963867;-1.992746353149414;-4.427883625030518;-8.218650817871094;-0.9130802154541016;-1.8561525344848633;-0.7256832122802734
She is truthful. He too is untruthful.,truthful-untruthful,y,pm,n,fm,-4.070827484130859;-0.194366455078125;-5.014396667480469;-0.0113525390625;-0.3904876708984375;-2.9774017333984375;-0.1108245849609375;-0.00341796875;-0.0164337158203125,-2.5638179779052734;-0.12962722778320312;-0.42433738708496094;-0.03427314758300781;-1.5852031707763672;-1.251338005065918;-0.031421661376953125;-0.006587982177734375;-0.014818191528320312,0.0;-13.426433563232422;-25.175689697265625;-14.025360107421875;-3.5259056091308594;-19.180877685546875;-7.681028366088867;-39.322439193725586;-12.699226379394531,0.0;-3.225691318511963;-11.460052490234375;-2.0391407012939453;-5.430031776428223;-8.462791442871094;-0.868840217590332;-7.513249397277832;-0.6844415664672852
She is untruthful. He too is truthful.,truthful-untruthful,y,mp,n,fm,-1.2941246032714844;-0.21282958984375;-0.002960205078125;-0.02126312255859375;-0.4788818359375;-3.1054840087890625;-0.0821533203125;-5.7428131103515625;-0.01983642578125,-3.1834278106689453;-0.16954517364501953;-0.01499176025390625;-0.022586822509765625;-1.7486305236816406;-1.9053945541381836;-0.027151107788085938;-1.1871004104614258;-0.01778411865234375,0.0;-13.306816101074219;-48.303762435913086;-11.59273910522461;-5.003475189208984;-19.214862823486328;-7.737367630004883;-24.888160705566406;-8.010257720947266,0.0;-3.225691318511963;-13.859495162963867;-1.9927473068237305;-4.427884578704834;-8.218649864196777;-0.9130802154541016;-5.130792617797852;-0.7754077911376953
